Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
225,Data Structures,2014,fa,2.840608519269777,493,6,145,48,32,76,29,29,37,10,0,50,0,31,2014-fa
225,Data Structures,2014,sp,2.936912878787879,528,5,160,44,56,74,39,32,40,12,0,42,0,24,2014-sp
225,Data Structures,2015,fa,3.045085034013605,588,8,175,84,49,95,32,29,46,15,0,32,0,23,2015-fa
225,Data Structures,2015,sp,3.2442752293577986,545,52,145,109,64,47,26,28,23,10,14,10,0,17,2015-sp
225,Data Structures,2016,fa,3.2407417974322392,701,26,296,87,54,73,25,30,47,0,0,35,0,28,2016-fa
225,Data Structures,2016,sp,3.1431023622047243,635,16,227,97,45,86,30,21,48,0,0,35,0,30,2016-sp
225,Data Structures,2017,fa,3.053664772727273,704,235,87,54,46,57,33,28,42,17,24,23,28,30,2017-fa
225,Data Structures,2017,sp,3.0913153961136017,669,19,312,55,39,53,27,16,44,0,0,56,0,48,2017-sp
225,Data Structures,2018,fa,3.4170731707317064,697,25,408,41,45,44,22,28,22,15,6,9,11,21,2018-fa
225,Data Structures,2018,sp,3.1875288303130147,607,19,312,41,32,43,33,15,24,12,7,13,17,39,2018-sp
233,Computer Architecture,2014,fa,2.8174111675126903,197,8,37,15,13,57,13,6,16,4,4,13,0,11,2014-fa
233,Computer Architecture,2015,fa,2.910702875399361,313,12,81,12,13,93,9,7,53,9,0,8,5,11,2015-fa
233,Computer Architecture,2015,sp,2.7092971246006394,313,12,71,17,13,83,4,12,41,2,4,26,9,19,2015-sp
233,Computer Architecture,2016,fa,2.9973796791443847,374,13,142,15,14,83,7,6,43,4,2,21,2,22,2016-fa
233,Computer Architecture,2016,sp,2.896388888888889,180,7,64,7,5,35,6,5,24,1,1,10,2,13,2016-sp
233,Computer Architecture,2017,fa,3.0831067961165046,309,2,144,8,8,63,7,5,38,2,0,14,0,18,2017-fa
233,Computer Architecture,2017,sp,2.8051052631578943,190,5,69,4,12,44,0,2,15,1,0,14,0,24,2017-sp
233,Computer Architecture,2018,fa,3.1757879656160464,349,13,166,11,12,57,8,4,43,3,1,18,0,13,2018-fa
233,Computer Architecture,2018,sp,3.1050228310502277,219,5,94,6,13,49,5,6,13,5,1,6,4,12,2018-sp
241,System Programming,2010,fa,2.4148818897637794,127,10,11,12,13,13,7,5,19,6,0,18,0,13,2010-fa
241,System Programming,2010,sp,2.718455882352941,136,4,45,3,3,18,7,6,19,9,2,7,5,8,2010-sp
241,System Programming,2011,fa,2.356101694915254,118,3,18,8,7,21,3,3,20,7,5,3,3,17,2011-fa
241,System Programming,2011,sp,2.301555555555556,135,3,13,10,8,27,11,4,13,5,8,14,7,12,2011-sp
241,System Programming,2012,fa,2.2484967320261435,153,3,29,6,6,25,6,4,17,5,4,24,3,21,2012-fa
241,System Programming,2012,sp,2.448846153846154,26,2,3,2,1,4,2,2,4,0,0,3,0,3,2012-sp
241,System Programming,2013,fa,2.577790697674419,172,3,24,19,14,29,16,17,9,10,0,15,0,16,2013-fa
241,System Programming,2013,sp,2.4967741935483865,186,6,18,16,25,30,14,8,17,23,0,8,0,21,2013-sp
241,System Programming,2014,fa,2.7231288343558284,326,21,31,38,56,31,33,21,22,28,11,11,11,12,2014-fa
241,System Programming,2014,sp,2.7223333333333333,150,7,29,11,14,25,10,9,11,8,6,8,5,7,2014-sp
241,System Programming,2015,fa,2.6916184971098267,173,14,17,13,33,16,18,7,14,8,13,7,9,4,2015-fa
241,System Programming,2015,sp,2.8034196891191714,193,18,19,31,23,23,19,9,9,11,14,5,3,9,2015-sp
241,System Programming,2016,fa,2.9262585034013613,294,51,48,29,39,26,19,15,8,7,13,14,8,17,2016-fa
241,System Programming,2016,sp,2.7073170731707314,328,33,30,33,32,43,43,35,14,8,21,11,4,21,2016-sp
241,System Programming,2017,fa,2.679263803680981,163,11,24,15,21,7,23,12,12,8,7,8,10,5,2017-fa
241,System Programming,2017,sp,2.5810122699386504,326,32,31,37,26,20,34,31,28,19,23,17,13,15,2017-sp
241,System Programming,2018,fa,2.660299625468165,267,45,39,26,21,18,10,25,17,10,10,6,0,40,2018-fa
241,System Programming,2018,sp,2.8177732793522265,247,33,46,15,27,28,16,17,15,11,7,7,6,19,2018-sp
242,Programming Studio,2010,fa,3.5685606060606063,132,6,39,35,27,18,7,0,0,0,0,0,0,0,2010-fa
242,Programming Studio,2010,sp,3.8220792079207926,101,33,37,16,8,6,1,0,0,0,0,0,0,0,2010-sp
242,Programming Studio,2011,fa,3.5762711864406787,118,11,53,16,18,10,3,2,1,1,0,1,0,2,2011-fa
242,Programming Studio,2011,sp,3.395102040816327,98,3,25,26,14,18,5,1,3,0,0,3,0,0,2011-sp
242,Programming Studio,2012,fa,3.7557777777777783,135,22,75,17,7,6,1,2,4,0,0,0,0,1,2012-fa
242,Programming Studio,2013,fa,3.3245999999999998,150,9,33,34,27,21,6,7,7,2,1,2,0,1,2013-fa
242,Programming Studio,2013,sp,3.7496273291925455,161,18,98,16,12,8,4,2,0,1,0,0,0,2,2013-sp
242,Programming Studio,2014,fa,3.250170454545455,176,2,19,51,51,14,19,9,7,0,1,2,0,1,2014-fa
242,Programming Studio,2014,sp,3.5567613636363644,176,33,75,19,18,8,3,3,8,0,4,4,0,1,2014-sp
242,Programming Studio,2015,fa,3.396742857142857,175,4,52,60,24,8,3,9,5,1,3,1,1,4,2015-fa
242,Programming Studio,2015,sp,3.280308641975308,162,10,38,42,24,14,10,4,8,3,4,1,0,4,2015-sp
242,Programming Studio,2016,fa,3.4096491228070174,171,4,40,53,32,17,6,11,6,0,1,0,0,1,2016-fa
242,Programming Studio,2016,sp,3.3660606060606053,165,2,39,48,26,20,10,10,8,0,2,0,0,0,2016-sp
242,Programming Studio,2017,fa,3.3110344827586204,232,13,54,77,33,9,11,10,8,4,1,4,0,8,2017-fa
242,Programming Studio,2017,sp,3.35,182,16,54,34,29,12,13,8,2,3,6,0,3,2,2017-sp
242,Programming Studio,2018,fa,3.3086854460093904,213,27,49,51,31,15,10,7,6,3,3,0,2,9,2018-fa
242,Programming Studio,2018,sp,3.2164835164835175,182,19,47,39,18,13,9,12,6,3,4,3,3,6,2018-sp
296,Honors Course,2012,fa,3.8776666666666673,30,1,22,3,4,0,0,0,0,0,0,0,0,0,2012-fa
296,Honors Course,2013,fa,3.8028125,32,0,22,7,0,2,0,0,1,0,0,0,0,0,2013-fa
296,Honors Course,2013,sp,3.1643076923076925,65,3,28,7,5,5,3,1,7,0,0,0,0,6,2013-sp
296,Honors Course,2014,fa,3.359702970297029,101,14,50,2,7,14,2,0,1,2,0,0,0,9,2014-fa
