YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2017-sp,210,Ethical & Professional Issues,10,108,20,3,12,2,2,0,1,0,0,0,2,"Cunningham, Ryan M",2017,160,73.75,3.769125,sp
2018-fa,210,Ethical & Professional Issues,27,87,16,6,7,0,0,0,0,0,2,0,0,"Cunningham, Ryan M",2018,145,78.62068965517241,3.8462068965517244,fa
2018-sp,210,Ethical & Professional Issues,49,71,5,5,10,1,0,2,0,0,1,0,1,"Cunningham, Ryan M",2018,145,82.75862068965517,3.81151724137931,sp
2012-sp,225,Data Structures,1,12,6,4,8,2,3,4,5,0,3,0,7,"Toole, John D",2012,55,23.636363636363637,2.6003636363636367,sp
2012-fa,225,Data Structures,3,109,58,23,70,14,13,39,0,0,21,0,21,"Heeren, Cinda",2012,371,30.18867924528302,3.003018867924528,fa
2011-sp,225,Data Structures,0,72,35,12,49,11,9,14,5,0,18,0,7,"Heeren, Cinda",2011,232,31.03448275862069,3.0521551724137934,sp
2014-fa,225,Data Structures,6,145,48,32,76,29,29,37,10,0,50,0,31,"Heeren, Cinda",2014,493,30.628803245436103,2.840608519269777,fa
2010-fa,225,Data Structures,4,69,13,17,65,5,5,38,14,0,22,0,12,"Heeren, Cinda",2010,264,27.65151515151515,2.7943181818181815,fa
2013-sp,225,Data Structures,15,77,75,22,49,25,17,56,0,0,33,0,22,"Heeren, Cinda",2013,391,23.52941176470588,2.851329923273657,sp
2010-sp,225,Data Structures,1,32,6,9,34,5,5,32,0,0,15,0,14,"Kassa, Debessay F",2010,153,21.568627450980394,2.5489542483660133,sp
2011-fa,225,Data Structures,3,101,20,19,72,16,21,34,17,0,10,0,12,"Heeren, Cinda",2011,325,32.0,2.9744923076923073,fa
2013-fa,225,Data Structures,5,165,61,24,61,42,23,30,13,0,21,0,14,"Heeren, Cinda",2013,459,37.03703703703704,3.1268627450980393,fa
2018-sp,225,Data Structures,19,312,41,32,43,33,15,24,12,7,13,17,39,"Fagen-Ulmschnei, Wade A",2018,607,54.53047775947282,3.1875288303130147,sp
2017-fa,225,Data Structures,235,87,54,46,57,33,28,42,17,24,23,28,30,"Fagen-Ulmschnei, Wade A",2017,704,45.73863636363637,3.053664772727273,fa
2015-fa,225,Data Structures,8,175,84,49,95,32,29,46,15,0,32,0,23,"Heeren, Cinda",2015,588,31.122448979591837,3.0450850340136055,fa
2017-sp,225,Data Structures,19,312,55,39,53,27,16,44,0,0,56,0,48,"Heeren, Cinda",2017,669,49.47683109118087,3.0913153961136017,sp
2018-fa,225,Data Structures,25,408,41,45,44,22,28,22,15,6,9,11,21,"Fagen-Ulmschnei, Wade A",2018,697,62.12338593974175,3.4170731707317064,fa
2016-sp,225,Data Structures,16,227,97,45,86,30,21,48,0,0,35,0,30,"Heeren, Cinda",2016,635,38.267716535433074,3.1431023622047243,sp
2015-sp,225,Data Structures,52,145,109,64,47,26,28,23,10,14,10,0,17,"Heeren, Cinda",2015,545,36.14678899082569,3.2442752293577986,sp
2014-sp,225,Data Structures,5,160,44,56,74,39,32,40,12,0,42,0,24,"Heeren, Cinda",2014,528,31.25,2.936912878787879,sp
2016-fa,225,Data Structures,26,296,87,54,73,25,30,47,0,0,35,0,28,"Heeren, Cinda",2016,701,45.93437945791726,3.2407417974322392,fa
2016-sp,233,Computer Architecture,7,64,7,5,35,6,5,24,1,1,10,2,13,"Zilles, Craig",2016,180,39.44444444444444,2.896388888888889,sp
2015-sp,233,Computer Architecture,12,71,17,13,83,4,12,41,2,4,26,9,19,"Zilles, Craig",2015,313,26.517571884984026,2.7092971246006394,sp
2014-fa,233,Computer Architecture,8,37,15,13,57,13,6,16,4,4,13,0,11,"Zilles, Craig",2014,197,22.84263959390863,2.8174111675126903,fa
2015-fa,233,Computer Architecture,12,81,12,13,93,9,7,53,9,0,8,5,11,"Zilles, Craig",2015,313,29.712460063897762,2.910702875399361,fa
2017-sp,233,Computer Architecture,5,69,4,12,44,0,2,15,1,0,14,0,24,"Herman, Geoffrey L",2017,190,38.94736842105263,2.8051052631578943,sp
2018-fa,233,Computer Architecture,13,166,11,12,57,8,4,43,3,1,18,0,13,"Herman, Geoffrey L",2018,349,51.28939828080229,3.1757879656160464,fa
2017-fa,233,Computer Architecture,2,144,8,8,63,7,5,38,2,0,14,0,18,"Herman, Geoffrey L",2017,309,47.249190938511326,3.083106796116505,fa
2018-sp,233,Computer Architecture,5,94,6,13,49,5,6,13,5,1,6,4,12,"Herman, Geoffrey L",2018,219,45.20547945205479,3.105022831050228,sp
2016-fa,233,Computer Architecture,13,142,15,14,83,7,6,43,4,2,21,2,22,"Zilles, Craig",2016,374,41.44385026737968,2.997379679144385,fa
2012-fa,241,System Programming,3,29,6,6,25,6,4,17,5,4,24,3,21,"Kravets, Robin H",2012,153,20.915032679738562,2.2484967320261435,fa
2013-fa,241,System Programming,3,24,19,14,29,16,17,9,10,0,15,0,16,"Fagen, Wade A",2013,172,15.69767441860465,2.577790697674419,fa
2012-sp,241,System Programming,2,3,2,1,4,2,2,4,0,0,3,0,3,"Fagen, Wade A",2012,26,19.230769230769234,2.448846153846154,sp
2010-fa,241,System Programming,10,11,12,13,13,7,5,19,6,0,18,0,13,"Caccamo, Marco",2010,127,16.535433070866144,2.414881889763779,fa
2011-sp,241,System Programming,3,13,10,8,27,11,4,13,5,8,14,7,12,"Kravets, Robin H",2011,135,11.851851851851853,2.3015555555555554,sp
2011-fa,241,System Programming,3,18,8,7,21,3,3,20,7,5,3,3,17,"Kravets, Robin H",2011,118,17.796610169491526,2.356101694915254,fa
2010-sp,241,System Programming,4,45,3,3,18,7,6,19,9,2,7,5,8,"Kravets, Robin H",2010,136,36.029411764705884,2.7184558823529414,sp
2013-sp,241,System Programming,6,18,16,25,30,14,8,17,23,0,8,0,21,"Caccamo, Marco",2013,186,12.903225806451612,2.496774193548387,sp
2014-fa,241,System Programming,21,31,38,56,31,33,21,22,28,11,11,11,12,"Angrave, Lawrence C",2014,326,15.950920245398773,2.7231288343558284,fa
2014-sp,241,System Programming,7,29,11,14,25,10,9,11,8,6,8,5,7,"Caccamo, Marco",2014,150,24.0,2.7223333333333333,sp
2015-fa,241,System Programming,14,17,13,33,16,18,7,14,8,13,7,9,4,"Angrave, Lawrence C",2015,173,17.91907514450867,2.6916184971098267,fa
2018-fa,241,System Programming,45,39,26,21,18,10,25,17,10,10,6,0,40,"Angrave, Lawrence C",2018,267,31.46067415730337,2.660299625468165,fa
2017-sp,241,System Programming,32,31,37,26,20,34,31,28,19,23,17,13,15,"Evans, Graham C",2017,326,19.32515337423313,2.5810122699386504,sp
2017-fa,241,System Programming,11,24,15,21,7,23,12,12,8,7,8,10,5,"Evans, Graham C",2017,163,21.472392638036812,2.6792638036809815,fa
2018-sp,241,System Programming,33,46,15,27,28,16,17,15,11,7,7,6,19,"Angrave, Lawrence C",2018,247,31.983805668016196,2.8177732793522265,sp
2016-fa,241,System Programming,51,48,29,39,26,19,15,8,7,13,14,8,17,"Angrave, Lawrence C",2016,294,33.6734693877551,2.926258503401361,fa
2015-sp,241,System Programming,18,19,31,23,23,19,9,9,11,14,5,3,9,"Angrave, Lawrence C",2015,193,19.170984455958546,2.8034196891191714,sp
2016-sp,241,System Programming,33,30,33,32,43,43,35,14,8,21,11,4,21,"Angrave, Lawrence C",2016,328,19.20731707317073,2.7073170731707314,sp
2013-sp,242,Programming Studio,18,98,16,12,8,4,2,0,1,0,0,0,2,"Woodley, Michael J",2013,161,72.04968944099379,3.7496273291925464,sp
2014-sp,242,Programming Studio,33,75,19,18,8,3,3,8,0,4,4,0,1,"Woodley, Michael J",2014,176,61.36363636363637,3.5567613636363644,sp
2010-sp,242,Programming Studio,33,37,16,8,6,1,0,0,0,0,0,0,0,"Woodley, Michael J",2010,101,69.3069306930693,3.8220792079207926,sp
2011-fa,242,Programming Studio,11,53,16,18,10,3,2,1,1,0,1,0,2,"Woodley, Michael J",2011,118,54.23728813559322,3.5762711864406787,fa
2011-sp,242,Programming Studio,3,25,26,14,18,5,1,3,0,0,3,0,0,"Woodley, Michael J",2011,98,28.57142857142857,3.395102040816327,sp
2012-fa,242,Programming Studio,22,75,17,7,6,1,2,4,0,0,0,0,1,"Woodley, Michael J",2012,135,71.85185185185186,3.755777777777778,fa
2013-fa,242,Programming Studio,9,33,34,27,21,6,7,7,2,1,2,0,1,"Woodley, Michael J",2013,150,28.000000000000004,3.3245999999999993,fa
2014-fa,242,Programming Studio,2,19,51,51,14,19,9,7,0,1,2,0,1,"Woodley, Michael J",2014,176,11.931818181818182,3.250170454545455,fa
2015-sp,242,Programming Studio,10,38,42,24,14,10,4,8,3,4,1,0,4,"Woodley, Michael J",2015,162,29.629629629629626,3.2803086419753082,sp
2015-fa,242,Programming Studio,4,52,60,24,8,3,9,5,1,3,1,1,4,"Woodley, Michael J",2015,175,32.0,3.396742857142857,fa
2016-fa,242,Programming Studio,4,40,53,32,17,6,11,6,0,1,0,0,1,"Woodley, Michael J",2016,171,25.730994152046783,3.4096491228070174,fa
2016-sp,242,Programming Studio,2,39,48,26,20,10,10,8,0,2,0,0,0,"Woodley, Michael J",2016,165,24.848484848484848,3.3660606060606053,sp
2017-fa,242,Programming Studio,13,54,77,33,9,11,10,8,4,1,4,0,8,"Woodley, Michael J",2017,232,28.879310344827587,3.31103448275862,fa
2017-sp,242,Programming Studio,16,54,34,29,12,13,8,2,3,6,0,3,2,"Woodley, Michael J",2017,182,38.46153846153847,3.3499999999999996,sp
2018-fa,242,Programming Studio,27,49,51,31,15,10,7,6,3,3,0,2,9,"Woodley, Michael J",2018,213,35.68075117370892,3.3086854460093904,fa
2018-sp,242,Programming Studio,19,47,39,18,13,9,12,6,3,4,3,3,6,"Woodley, Michael J",2018,182,36.26373626373626,3.216483516483517,sp
2010-fa,242,Programming Studio,6,39,35,27,18,7,0,0,0,0,0,0,0,"Woodley, Michael J",2010,132,34.090909090909086,3.5685606060606063,fa
2014-sp,296,Honors Course,3,75,5,3,8,6,0,3,0,0,2,0,0,"Heeren, Cinda",2014,105,74.28571428571429,3.698666666666667,sp
2012-fa,296,Honors Course,1,22,3,4,0,0,0,0,0,0,0,0,0,"Heeren, Cinda",2012,30,76.66666666666667,3.8776666666666673,fa
2013-fa,296,Honors Course,0,22,7,0,2,0,0,1,0,0,0,0,0,"Heeren, Cinda",2013,32,68.75,3.8028125,fa
2013-sp,296,Honors Course,3,28,7,5,5,3,1,7,0,0,0,0,6,"Heeren, Cinda",2013,65,47.69230769230769,3.1643076923076925,sp
2014-fa,296,Honors Course,14,50,2,7,14,2,0,1,2,0,0,0,9,"Heeren, Cinda",2014,101,63.366336633663366,3.359702970297029,fa
